characters,created,director,edited,episode_id,opening_crawl,planets,producer,release_date,species,starships,title,url,vehicles
"httpsswapidevapipeople2,httpsswapidevapipeople3,httpsswapidevapipeople6,httpsswapidevapipeople7,httpsswapidevapipeople10,httpsswapidevapipeople11,httpsswapidevapipeople20,httpsswapidevapipeople21,httpsswapidevapipeople22,httpsswapidevapipeople33,httpsswapidevapipeople35,httpsswapidevapipeople36,httpsswapidevapipeople40,httpsswapidevapipeople43,httpsswapidevapipeople46,httpsswapidevapipeople51,httpsswapidevapipeople52,httpsswapidevapipeople53,httpsswapidevapipeople58,httpsswapidevapipeople59,httpsswapidevapipeople60,httpsswapidevapipeople61,httpsswapidevapipeople62,httpsswapidevapipeople63,httpsswapidevapipeople64,httpsswapidevapipeople65,httpsswapidevapipeople66,httpsswapidevapipeople67,httpsswapidevapipeople68,httpsswapidevapipeople69,httpsswapidevapipeople70,httpsswapidevapipeople71,httpsswapidevapipeople72,httpsswapidevapipeople73,httpsswapidevapipeople74,httpsswapidevapipeople75,httpsswapidevapipeople76,httpsswapidevapipeople77,httpsswapidevapipeople78,httpsswapidevapipeople82",20141220t105757886000z,george lucas,20141220t201848516000z,2,there is unrest in the galacticsenate several thousand solarsystems have declared theirintentions to leave the republicthis separatist movementunder the leadership of themysterious count dooku hasmade it difficult for the limitednumber of jedi knights to maintain peace and order in the galaxysenator amidala the formerqueen of naboo is returningto the galactic senate to voteon the critical issue of creatingan army of the republicto assist the overwhelmedjedi,"httpsswapidevapiplanets1,httpsswapidevapiplanets8,httpsswapidevapiplanets9,httpsswapidevapiplanets10,httpsswapidevapiplanets11",rick mccallum,20020516,"httpsswapidevapispecies1,httpsswapidevapispecies2,httpsswapidevapispecies6,httpsswapidevapispecies12,httpsswapidevapispecies13,httpsswapidevapispecies15,httpsswapidevapispecies28,httpsswapidevapispecies29,httpsswapidevapispecies30,httpsswapidevapispecies31,httpsswapidevapispecies32,httpsswapidevapispecies33,httpsswapidevapispecies34,httpsswapidevapispecies35","httpsswapidevapistarships21,httpsswapidevapistarships32,httpsswapidevapistarships39,httpsswapidevapistarships43,httpsswapidevapistarships47,httpsswapidevapistarships48,httpsswapidevapistarships49,httpsswapidevapistarships52,httpsswapidevapistarships58",attack of the clones,httpsswapidevapifilms5,"httpsswapidevapivehicles4,httpsswapidevapivehicles44,httpsswapidevapivehicles45,httpsswapidevapivehicles46,httpsswapidevapivehicles50,httpsswapidevapivehicles51,httpsswapidevapivehicles53,httpsswapidevapivehicles54,httpsswapidevapivehicles55,httpsswapidevapivehicles56,httpsswapidevapivehicles57"
"httpsswapidevapipeople1,httpsswapidevapipeople2,httpsswapidevapipeople3,httpsswapidevapipeople4,httpsswapidevapipeople5,httpsswapidevapipeople6,httpsswapidevapipeople7,httpsswapidevapipeople8,httpsswapidevapipeople9,httpsswapidevapipeople10,httpsswapidevapipeople12,httpsswapidevapipeople13,httpsswapidevapipeople14,httpsswapidevapipeople15,httpsswapidevapipeople16,httpsswapidevapipeople18,httpsswapidevapipeople19,httpsswapidevapipeople81",20141210t142331880000z,george lucas,20141220t194945256000z,4,it is a period of civil warrebel spaceships strikingfrom a hidden base have wontheir first victory againstthe evil galactic empireduring the battle rebelspies managed to steal secretplans to the empiresultimate weapon the deathstar an armored spacestation with enough powerto destroy an entire planetpursued by the empiressinister agents princessleia races home aboard herstarship custodian of thestolen plans that can save herpeople and restorefreedom to the galaxy,"httpsswapidevapiplanets1,httpsswapidevapiplanets2,httpsswapidevapiplanets3",gary kurtz rick mccallum,19770525,"httpsswapidevapispecies1,httpsswapidevapispecies2,httpsswapidevapispecies3,httpsswapidevapispecies4,httpsswapidevapispecies5","httpsswapidevapistarships2,httpsswapidevapistarships3,httpsswapidevapistarships5,httpsswapidevapistarships9,httpsswapidevapistarships10,httpsswapidevapistarships11,httpsswapidevapistarships12,httpsswapidevapistarships13",a new hope,httpsswapidevapifilms1,"httpsswapidevapivehicles4,httpsswapidevapivehicles6,httpsswapidevapivehicles7,httpsswapidevapivehicles8"
"httpsswapidevapipeople2,httpsswapidevapipeople3,httpsswapidevapipeople10,httpsswapidevapipeople11,httpsswapidevapipeople16,httpsswapidevapipeople20,httpsswapidevapipeople21,httpsswapidevapipeople32,httpsswapidevapipeople33,httpsswapidevapipeople34,httpsswapidevapipeople35,httpsswapidevapipeople36,httpsswapidevapipeople37,httpsswapidevapipeople38,httpsswapidevapipeople39,httpsswapidevapipeople40,httpsswapidevapipeople41,httpsswapidevapipeople42,httpsswapidevapipeople43,httpsswapidevapipeople44,httpsswapidevapipeople46,httpsswapidevapipeople47,httpsswapidevapipeople48,httpsswapidevapipeople49,httpsswapidevapipeople50,httpsswapidevapipeople51,httpsswapidevapipeople52,httpsswapidevapipeople53,httpsswapidevapipeople54,httpsswapidevapipeople55,httpsswapidevapipeople56,httpsswapidevapipeople57,httpsswapidevapipeople58,httpsswapidevapipeople59",20141219t165255740000z,george lucas,20141220t105407216000z,1,turmoil has engulfed thegalactic republic the taxationof trade routes to outlying starsystems is in disputehoping to resolve the matterwith a blockade of deadlybattleships the greedy tradefederation has stopped allshipping to the small planetof naboowhile the congress of therepublic endlessly debatesthis alarming chain of eventsthe supreme chancellor hassecretly dispatched two jediknights the guardians ofpeace and justice in thegalaxy to settle the conflict,"httpsswapidevapiplanets1,httpsswapidevapiplanets8,httpsswapidevapiplanets9",rick mccallum,19990519,"httpsswapidevapispecies1,httpsswapidevapispecies2,httpsswapidevapispecies6,httpsswapidevapispecies11,httpsswapidevapispecies12,httpsswapidevapispecies13,httpsswapidevapispecies14,httpsswapidevapispecies15,httpsswapidevapispecies16,httpsswapidevapispecies17,httpsswapidevapispecies18,httpsswapidevapispecies19,httpsswapidevapispecies20,httpsswapidevapispecies21,httpsswapidevapispecies22,httpsswapidevapispecies23,httpsswapidevapispecies24,httpsswapidevapispecies25,httpsswapidevapispecies26,httpsswapidevapispecies27","httpsswapidevapistarships31,httpsswapidevapistarships32,httpsswapidevapistarships39,httpsswapidevapistarships40,httpsswapidevapistarships41",the phantom menace,httpsswapidevapifilms4,"httpsswapidevapivehicles33,httpsswapidevapivehicles34,httpsswapidevapivehicles35,httpsswapidevapivehicles36,httpsswapidevapivehicles37,httpsswapidevapivehicles38,httpsswapidevapivehicles42"
"httpsswapidevapipeople1,httpsswapidevapipeople2,httpsswapidevapipeople3,httpsswapidevapipeople4,httpsswapidevapipeople5,httpsswapidevapipeople10,httpsswapidevapipeople13,httpsswapidevapipeople14,httpsswapidevapipeople16,httpsswapidevapipeople18,httpsswapidevapipeople20,httpsswapidevapipeople21,httpsswapidevapipeople22,httpsswapidevapipeople25,httpsswapidevapipeople27,httpsswapidevapipeople28,httpsswapidevapipeople29,httpsswapidevapipeople30,httpsswapidevapipeople31,httpsswapidevapipeople45",20141218t103933255000z,richard marquand,20141220t094837462000z,6,luke skywalker has returned tohis home planet of tatooine inan attempt to rescue hisfriend han solo from theclutches of the vile gangsterjabba the huttlittle does luke know that thegalactic empire has secretlybegun construction on a newarmored space station evenmore powerful than the firstdreaded death starwhen completed this ultimateweapon will spell certain doomfor the small band of rebelsstruggling to restore freedomto the galaxy,"httpsswapidevapiplanets1,httpsswapidevapiplanets5,httpsswapidevapiplanets7,httpsswapidevapiplanets8,httpsswapidevapiplanets9",howard g kazanjian george lucas rick mccallum,19830525,"httpsswapidevapispecies1,httpsswapidevapispecies2,httpsswapidevapispecies3,httpsswapidevapispecies5,httpsswapidevapispecies6,httpsswapidevapispecies8,httpsswapidevapispecies9,httpsswapidevapispecies10,httpsswapidevapispecies15","httpsswapidevapistarships2,httpsswapidevapistarships3,httpsswapidevapistarships10,httpsswapidevapistarships11,httpsswapidevapistarships12,httpsswapidevapistarships15,httpsswapidevapistarships17,httpsswapidevapistarships22,httpsswapidevapistarships23,httpsswapidevapistarships27,httpsswapidevapistarships28,httpsswapidevapistarships29",return of the jedi,httpsswapidevapifilms3,"httpsswapidevapivehicles8,httpsswapidevapivehicles16,httpsswapidevapivehicles18,httpsswapidevapivehicles19,httpsswapidevapivehicles24,httpsswapidevapivehicles25,httpsswapidevapivehicles26,httpsswapidevapivehicles30"
"httpsswapidevapipeople1,httpsswapidevapipeople2,httpsswapidevapipeople3,httpsswapidevapipeople4,httpsswapidevapipeople5,httpsswapidevapipeople10,httpsswapidevapipeople13,httpsswapidevapipeople14,httpsswapidevapipeople18,httpsswapidevapipeople20,httpsswapidevapipeople21,httpsswapidevapipeople22,httpsswapidevapipeople23,httpsswapidevapipeople24,httpsswapidevapipeople25,httpsswapidevapipeople26",20141212t112624656000z,irvin kershner,20141215t130753386000z,5,it is a dark time for therebellion although the deathstar has been destroyedimperial troops have driven therebel forces from their hiddenbase and pursued them acrossthe galaxyevading the dreaded imperialstarfleet a group of freedomfighters led by luke skywalkerhas established a new secretbase on the remote ice worldof hoththe evil lord darth vaderobsessed with finding youngskywalker has dispatchedthousands of remote probes intothe far reaches of space,"httpsswapidevapiplanets4,httpsswapidevapiplanets5,httpsswapidevapiplanets6,httpsswapidevapiplanets27",gary kurtz rick mccallum,19800517,"httpsswapidevapispecies1,httpsswapidevapispecies2,httpsswapidevapispecies3,httpsswapidevapispecies6,httpsswapidevapispecies7","httpsswapidevapistarships3,httpsswapidevapistarships10,httpsswapidevapistarships11,httpsswapidevapistarships12,httpsswapidevapistarships15,httpsswapidevapistarships17,httpsswapidevapistarships21,httpsswapidevapistarships22,httpsswapidevapistarships23",the empire strikes back,httpsswapidevapifilms2,"httpsswapidevapivehicles8,httpsswapidevapivehicles14,httpsswapidevapivehicles16,httpsswapidevapivehicles18,httpsswapidevapivehicles19,httpsswapidevapivehicles20"
